iter	Passed	Remaining
0	1	144
1	2	135
2	4	140
3	5	130
4	7	140
5	8	136
6	10	132
7	11	128
8	12	126
9	13	124
10	15	121
11	16	119
12	17	116
13	18	114
14	20	113
15	21	113
16	23	112
17	24	110
18	25	108
19	26	107
20	28	105
21	29	103
22	30	102
23	31	100
24	33	99
25	34	97
26	35	96
27	37	95
28	38	93
29	39	92
30	40	90
31	42	89
32	43	87
33	44	86
34	45	84
35	46	83
36	48	82
37	50	82
38	51	80
39	52	79
40	54	77
41	54	75
42	55	73
43	57	72
44	58	71
45	59	70
46	61	68
47	62	67
48	63	66
49	65	65
50	66	64
51	67	62
52	69	61
53	70	60
54	71	58
55	72	56
56	73	55
57	74	54
58	75	52
59	77	51
60	78	50
61	80	49
62	81	47
63	82	46
64	83	45
65	85	43
66	86	42
67	87	41
68	89	40
69	90	38
70	91	37
71	92	36
72	94	34
73	95	33
74	96	32
75	97	30
76	99	29
77	100	28
78	101	27
79	102	25
80	103	24
81	105	23
82	106	21
83	107	20
84	108	19
85	109	17
86	111	16
87	112	15
88	113	14
89	114	12
90	116	11
91	117	10
92	118	8
93	119	7
94	120	6
95	122	5
96	123	3
97	124	2
98	125	1
99	126	0
